StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
2023-11-22 18:43:41,2023-11-22 18:52:27,IP Address,102.88.33.150,100,525,True,2023-11-22 18:52:27,R_2ux35zVlQraY4Qi,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
2023-11-22 18:52:41,2023-11-22 18:55:49,IP Address,102.88.33.150,100,187,True,2023-11-22 18:55:50,R_2YIYqYJtMWdgGCu,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Extremely adequate,Somewhat agree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-22 18:56:07,2023-11-22 18:57:18,IP Address,102.88.36.207,100,70,True,2023-11-22 18:57:18,R_Wcb8bVaSDJYw4LL,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Female,Bachelor's Degree,Homemaker,Daily,A lot,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 18:54:47,2023-11-22 18:58:09,IP Address,102.88.33.239,100,201,True,2023-11-22 18:58:09,R_26bTRP77vCsIZXG,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Strongly agree,Somewhat disagree,Extremely uncomfortable,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
2023-11-22 18:57:33,2023-11-22 19:01:47,IP Address,102.88.33.150,100,253,True,2023-11-22 19:01:48,R_1pLrVtphKcF3JZg,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Master's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2023-11-22 18:58:15,2023-11-22 19:01:52,IP Address,102.88.33.239,100,216,True,2023-11-22 19:01:52,R_XBPIZDG8JDApqGl,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A great deal,Extremely inadequate,Strongly agree,Somewhat agree,Strongly disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
2023-11-22 23:04:01,2023-11-22 23:08:42,Survey Preview,,100,280,True,2023-11-22 23:08:43,R_290057V5DaWmsBj,,,,,53.3858,-1.4616,preview,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Bachelor's Degree,Employed Full-Time,Daily,A great deal,Extremely adequate,Strongly agree,Strongly agree,Somewhat agree,Extremely comfortable,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-23 00:48:25,2023-11-23 00:50:17,IP Address,31.205.133.68,100,112,True,2023-11-23 00:50:18,R_2uKXSU0gf7IEE7i,,,,,53.3858,-1.4616,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Bachelor's Degree,Employed Part-Time,Daily,A great deal,Extremely inadequate,Strongly agree,Strongly agree,Strongly disagree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree
2023-11-23 00:51:16,2023-11-23 00:52:48,IP Address,31.205.133.92,100,91,True,2023-11-23 00:52:48,R_1C3VOji1Gz5xuOD,,,,,53.3858,-1.4616,qr,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A great deal,Extremely inadequate,Strongly agree,Strongly agree,Strongly agree,Extremely uncomfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-23 08:27:38,2023-11-23 08:35:30,IP Address,102.88.33.191,100,472,True,2023-11-23 08:35:31,R_3MGxoqZeHMLYBic,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Unemployed,Daily,A moderate amount,Extremely adequate,Somewhat disagree,Strongly agree,Strongly agree,Somewhat comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
2023-11-23 10:02:52,2023-11-23 10:10:53,IP Address,102.88.36.163,100,481,True,2023-11-23 10:10:54,R_2YrjjWGawHI8KTT,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Female,Some College,Homemaker,Daily,A little,Extremely adequate,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-23 10:10:56,2023-11-23 10:20:29,IP Address,102.88.37.109,100,573,True,2023-11-23 10:20:30,R_306KZzaPiVv7MaV,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Employed Full-Time,Weekly,A little,Somewhat adequate,Strongly agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree
2023-11-23 10:20:40,2023-11-23 10:29:03,IP Address,102.88.36.161,100,503,True,2023-11-23 10:29:04,R_0DPX44vZTCjRWPT,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Some College,Homemaker,Weekly,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-23 10:29:07,2023-11-23 10:30:49,IP Address,102.88.33.194,100,102,True,2023-11-23 10:30:50,R_1P5juqWKOfFr73i,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-23 10:30:52,2023-11-23 10:33:16,IP Address,102.88.33.194,100,143,True,2023-11-23 10:33:17,R_3e9N84zBGnqHLpC,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Strongly agree,Neither comfortable nor uncomfortable,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
2023-11-23 10:33:19,2023-11-23 11:20:05,IP Address,102.88.36.105,100,2806,True,2023-11-23 11:20:06,R_3n2T2JkaZDDeHcX,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Male,High School Graduate,Employed Part-Time,Weekly,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-23 11:20:08,2023-11-23 11:21:31,IP Address,102.88.36.105,100,83,True,2023-11-23 11:21:31,R_3fe2HxbQ4jNJ6nI,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Male,Some College,Unemployed,Daily,A moderate amount,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-11-23 11:21:33,2023-11-23 11:23:30,IP Address,102.88.36.105,100,116,True,2023-11-23 11:23:31,R_06Dv6V9hQP1XaRH,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Strongly agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-11-16 22:41:53,2023-11-16 22:42:21,IP Address,5.66.113.187,43,27,False,2023-11-23 22:42:21,R_3Gm68ljda3lYqVH,,,,,,,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Employed Part-Time,Daily,,,,,,,,,,,,,
2023-11-16 21:16:07,2023-11-17 06:49:29,IP Address,146.70.95.139,4,34401,False,2023-11-24 06:49:32,R_24qJRvrzYdiXrMc,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2023-11-23 11:23:33,2023-11-24 09:04:21,IP Address,102.88.33.48,100,78048,True,2023-11-24 09:04:22,R_Ryq7Sp2tyWhAOVX,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Male,Some College,Employed Part-Time,Weekly,A lot,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
2023-11-24 09:04:46,2023-11-24 09:40:16,IP Address,102.88.36.156,100,2130,True,2023-11-24 09:40:17,R_1ohIfXrVjioye1b,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A great deal,Somewhat adequate,Strongly agree,Strongly agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
2023-11-24 09:40:33,2023-11-24 09:41:57,IP Address,102.88.37.223,100,83,True,2023-11-24 09:41:57,R_eA4wMWOGXWI1tIJ,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A great deal,Extremely adequate,Strongly agree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-24 09:42:11,2023-11-24 09:44:19,IP Address,102.88.36.66,100,128,True,2023-11-24 09:44:20,R_PFcbzpaXUSIp6vL,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Master's Degree,Employed Full-Time,Daily,A great deal,Neither adequate nor inadequate,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-11-24 09:44:22,2023-11-24 09:49:18,IP Address,102.88.36.66,100,295,True,2023-11-24 09:49:18,R_1NDJj7ihPRgMtN3,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A great deal,Extremely adequate,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither comfortable nor uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree
2023-11-24 09:49:20,2023-11-24 09:51:09,IP Address,102.88.36.156,100,109,True,2023-11-24 09:51:10,R_tXqj4xPUADyHMR3,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Strongly agree,Strongly agree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-11-24 09:51:15,2023-11-24 09:53:08,IP Address,102.88.37.223,100,113,True,2023-11-24 09:53:08,R_3F3caW6VMgVfPdJ,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
2023-11-24 09:53:11,2023-11-24 09:54:53,IP Address,102.88.36.66,100,101,True,2023-11-24 09:54:53,R_QgCjB70EhoaJqj7,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Male,Some College,Unemployed,Daily,,,,,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
2023-11-24 09:58:49,2023-11-24 10:00:12,IP Address,102.88.33.246,100,83,True,2023-11-24 10:00:13,R_1PXZp6Vl6LUBIIp,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-24 09:39:59,2023-11-24 10:01:02,IP Address,143.52.86.185,100,1263,True,2023-11-24 10:01:03,R_TtsfVzhvnjr5szL,,,,,53.4128,-2.1644,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Master's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-11-17 18:51:45,2023-11-17 18:52:15,IP Address,104.28.89.58,4,30,False,2023-11-24 18:52:16,R_27qlFm5PdNkHcsP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2023-11-17 16:46:41,2023-11-23 00:55:25,IP Address,31.205.133.92,87,461323,False,2023-11-30 00:55:27,R_2QXoVSZjdJ5jhWw,,,,,,,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Bachelor's Degree,Employed Part-Time,Daily,A great deal,Extremely adequate,Strongly agree,Strongly agree,,,,,,,,,
2023-11-24 10:00:15,2023-11-24 10:00:25,IP Address,102.88.33.246,22,10,False,2023-12-01 10:00:31,R_1LwymdvcBL1i0cx,,,,,,,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",,,,,,,,,,,,,,,,,,
2023-12-01 12:18:20,2023-12-01 12:21:35,IP Address,102.88.33.251,100,195,True,2023-12-01 12:21:35,R_bj6qdsqMtUscYgh,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-01 12:24:36,2023-12-01 12:26:32,IP Address,102.88.36.59,100,116,True,2023-12-01 12:26:33,R_3G6yP9SdToM93Lw,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Master's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-01 12:26:36,2023-12-01 12:29:33,IP Address,102.88.36.59,100,177,True,2023-12-01 12:29:34,R_2BhWoc643R1dHYu,,,,,7.3782,3.9062,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-01 12:29:36,2023-12-01 12:37:57,IP Address,146.70.104.54,100,500,True,2023-12-01 12:37:57,R_1KOBixIzgqil2UN,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Female,Some College,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
2023-12-01 12:38:02,2023-12-01 12:51:03,IP Address,146.70.104.54,100,780,True,2023-12-01 12:51:03,R_3RltPvudEGWtSxr,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",18-24,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2023-12-01 12:51:11,2023-12-01 12:56:24,IP Address,146.70.104.54,100,313,True,2023-12-01 12:56:25,R_22XiXtM1mYx93Im,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
2023-12-01 12:56:28,2023-12-01 12:58:15,IP Address,146.70.104.54,100,107,True,2023-12-01 12:58:15,R_26axtUZC5TP9Kr4,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
